ISBNs,ISSN,Título,Abstract,Autor,Ano,CI1,CI2,CI3,CI1_GEMINI,CI2_GEMINI,CI3_GEMINI
978-1-6654-3813-1,,FAILS: a tool for assessing risk in ML systems,"Quality assurance of AI based systems presents a unique set of challenges to software engineers, making it difficult to assess the risks involved when deploying them. We present a risk assessment tool based on the widely used failure mode effect analysis (FMEA) methodology, as well as quality assurance guidelines released in recent years. The tool aims to support the search for potential risks in machine learning (ML) components used in the design and development of AI products. A preliminary evaluation showed its effectiveness and pointed toward areas for future improvement.",G. A. Dominguez; K. Kawaai; H. Maruyama,2021,False,True,True,7.0,6.0,5.0
979-8-3503-0113-7,,A Case Study on AI Engineering Practices: Developing an Autonomous Stock Trading System,"Today, many systems use artificial intelligence (AI) to solve complex problems. While this often increases system effectiveness, developing a production-ready AI-based system is a difficult task. Thus, solid AI engineering practices are required to ensure the quality of the resulting system and to improve the development process. While several practices have already been proposed for the development of AI-based systems, detailed practical experiences of applying these practices are rare.In this paper, we aim to address this gap by collecting such experiences during a case study, namely the development of an autonomous stock trading system that uses machine learning functionality to invest in stocks. We selected 10 AI engineering practices from the literature and systematically applied them during development, with the goal to collect evidence about their applicability and effectiveness. Using structured field notes, we documented our experiences. Furthermore, we also used field notes to document challenges that occurred during the development, and the solutions we applied to overcome them. Afterwards, we analyzed the collected field notes, and evaluated how each practice improved the development. Lastly, we compared our evidence with existing literature.Most applied practices improved our system, albeit to varying extent, and we were able to overcome all major challenges. The qualitative results provide detailed accounts about 10 AI engineering practices, as well as challenges and solutions associated with such a project. Our experiences therefore enrich the emerging body of evidence in this field, which may be especially helpful for practitioner teams new to AI engineering.",M. Grote; J. Bogner,2023,False,True,False,7.0,7.0,6.0
979-8-3503-7897-9,2377-570X,ChatGPT's Aptitude in Utilizing UML Diagrams for Software Engineering Exercise Generation,"The integration of Artificial Intelligence (AI) tech-nologies into educational settings has paved the way for inno-vative teaching and learning approaches. In Software Engineering (SE) education, using Unified Modeling Language (UML) diagrams is a fundamental teaching element for understanding complex software systems. This research addresses ChatGPT's ability to utilize UML class and sequence diagrams to create SE modeling exercises. We use ChatGPT to generate exercises based on the information from uploaded UML diagrams by analyzing textual UML representations such as Mermaid and graphical diagrams. The research explores ChatGPT's ability to synthesize UML-specific information from class and sequence diagrams, enabling the generation of various exercises tailored to strengthen conceptual understanding and practical application. Furthermore, we investigate generating graphical UML class and sequence diagrams based on natural language as input. By bridging the gap between AI -driven natural language understanding and the comprehension of UML diagrams, this study highlights the potential of ChatGPT to improve SE education. Our concise findings address educators, practitioners, and other researchers engaged in the field of SE education with a special focus on UML.",S. Speth; N. Meißner; S. Becker,2024,False,False,False,1.0,1.0,2.0
979-8-3315-4001-2,2831-4948,Ethical Considerations in AI-Driven HCI Systems in Software Engineering,"Integrating Artificial Intelligence (AI) in Human-Computer Interaction (HCI) systems has transformed user inter-actions with technology, offering unprecedented personalisation and efficiency. However, these advances also raise substantial ethical concerns that need careful consideration, especially from a software engineering perspective. This paper explores AI-driven HCI systems’ ethical challenges, including privacy, bias, transparency, user autonomy, and accountability. We review existing literature to outline the current state of ethical practices and identify significant gaps. Subsequently, we propose a comprehensive framework for addressing these ethical challenges throughout the software development lifecycle. Through this exploration, we highlight the importance of embedding ethical considerations in designing, implementing, and maintaining AI-driven systems, ensuring that these technologies are influential and trustworthy. The discussion is enriched with practical examples and a case study that illustrates the application of these principles in real-world scenarios. This paper seeks to contribute to the ongoing discourse on ethical AI in HCI, urging a proactive approach to developing ethically-aware software solutions.",H. Aljawawdeh; H. Fawareh; M. Al Refai; F. Alshraideh; R. Salman; S. A. Dabaa’t; H. Alazzeh; H. Al-Shdaifat; M. Khouj,2024,False,False,False,7.0,6.0,7.0
978-1-4503-9319-5,,MLOps: A Guide to its Adoption in the Context of Responsible AI,"DevOps practices have increasingly been applied to software development as well as the machine learning lifecycle, in a process known as MLOps. Currently, many professionals have written about this topic, but still few results can be found in the academic and scientific literature on MLOps and how to to implement it effectively. Considering aspects of responsible AI, this number is even lower, opening up a field of research with many possibilities. This article presents five steps to guide the understanding and adoption of MLOps in the context of responsible AI. The study aims to serve as a reference guide for all those who wish to learn more about the topic and intend to implement MLOps practices to develop their systems, following responsible AI principles.CCS CONCEPTS• Software and its engineering → Software creation and management; • Computing methodologies → Machine learning.",B. M. A. Matsui; D. H. Goya,2022,True,False,False,7.0,7.0,5.0
979-8-3315-6536-7,2770-8209,Towards Understanding Fairness Adequacy Testing in Financial Machine Learning Systems,"Machine learning (ML) systems in finance raise concerns about fairness, bias, and regulatory compliance, especially in high-stakes areas like creditworthiness, lending, and risk assessment. Bias in ML can lead to systemic economic exclusion, disproportionately affecting marginalized communities. This paper explores fairness adequacy testing in financial ML models, addressing regulatory, technical, and ethical challenges while proposing bias mitigation strategies. Financial ML models face unique constraints, including strict privacy regulations such as the General Data Protection Regulation (GDPR), the Equal Credit Opportunity Act (ECOA) in the U.S., and Basel Committee fairness standards, along with reliance on proprietary data. While this work provides an overview of fairness challenges, the detailed scoping review will be conducted in a subsequent study to further analyze regulatory frameworks and industry practices. This paper aims to highlight key gaps and considerations that must be addressed to balance fairness and accuracy in ML-driven financial decision-making.",K. Akinola; J. G. Adigun; M. Srinivasan,2025,False,False,False,6.0,5.0,6.0
979-8-4007-0591-5,,Evaluation of The Generality of Multi-view Modeling Framework for ML Systems,"Multi-View Modeling Framework for ML Systems (M3S) provides a framework to synchronize the experimental nature of machine learning and the deterministic side of traditional software engineering. However, understanding the framework’s generality and limitations still requires further investigation. This paper compares the existing validation case study to a new case study of the OCT image diagnosis support system. The comparison between the two case studies shows M3S capability to handle variations in the nature of ML system analysis. However, the framework’s capability to handle different ML tasks other than multi-class classification still requires further investigation.",J. H. Husen; J. Runpakprakun; S. Chang; H. Washizaki; H. T. Tun; N. Yoshioka; Y. Fukazawa,2024,False,False,False,7.0,5.0,6.0
979-8-3503-6491-0,2768-0940,Best Practices of Machine Learning System Operations (MLOPS) In The South African Manufacturing Industry,"Machine Learning System Operations (MLOps) is crucial for optimising the machine learning (ML) development process, maintaining the functionality of ML models, and delivering the intended value to consumers. Machine Learning System Operations improves the traceability, reliability, reproducibility, and excellence of Machine Learning data, models, and systems. Machine Learning System Operations technologies address many operational challenges encountered in the process of machine learning. This paper aimed at uncovering the factors that drive and hinder the use of Machine Learning System Operations tools. Information was gathered from a sample of 40 individuals who work in different industries and have job positions linked to artificial intelligence and machine learning. The investigation revealed that the adoption of Machine Learning System Operations is driven by the employment of machine learning, performance factors, and security. The analysis reveals the necessity for management/leadership to be cognizant of the advantages offered by Machine Learning System Operations technologies. This study offers valuable information on the adoption of Machine Learning System Operations for Artificial Intelligence/Machine Learning professionals, academics, researchers, and consumers of machine learning models.",N. Y. Mulongo,2024,True,True,True,7.0,6.0,
978-1-4503-9275-4,,Traceable Business-to-Safety Analysis Framework for Safety-critical Machine Learning Systems,"Machine learning-based system requires specific attention towards their safety characteristics while considering the higher-level requirements. This study describes our approach for analyzing machine learning safety requirements top-down from higher-level business requirements, functional requirements, and risks to be mitigated. Our approach utilizes six different modeling techniques: AI Project Canvas, Machine Learning Canvas, KAOS Goal Modeling, UML Components Diagram, STAMP/STPA, and Safety Case Analysis. As a case study, we also demonstrated our approach for lane and other vehicle detection functions of self-driving cars.",J. H. Husen; H. Washizaki; H. T. Tun; N. Yoshioka; Y. Fukazawa; H. Takeuchi,2022,True,False,False,7.0,6.0,2.0
979-8-4007-0572-4,,"Towards Explainability as a Functional Requirement: A Vision to Integrate the Legal, End-User, and ML Engineer Perspectives","The rapid advancement and integration of artificial intelligence (AI) in various sectors have accentuated the importance of explainability in AI systems. This vision paper presents an exploration into the multifaceted nature of AI explainability, consolidating insights from three critical perspectives: legal, end-user, and ML engineer. We work towards a comprehensive taxonomy by creating a detailed classification that integrates various viewpoints and establishes explainability as an essential functional requirement, despite its usual treatment as a non-functional requirement.Our taxonomy will guide towards the interdependencies and distinct requirements of each perspective. We aim to foster a more profound understanding of AI explainability, encouraging a more holistic approach to AI system development. This research will advance the explainable AI discussion, providing key insights for policymakers, developers, and users, and promoting the development of AI systems that are technically sound, trustworthy, understandable, and legally compliant.CCS CONCEPTS• Software Engineering → Requirement Engineering for Responsible AI; • Requirements Engineering → Functional and Non-Functional Requirements; • Responsible AI Engineering;",U. -E. -. Habiba; J. Bogner; S. Wagner,2024,False,False,False,7.0,6.0,
978-1-4503-9275-4,,"Data Smells: Categories, Causes and Consequences, and Detection of Suspicious Data in AI-based Systems","High data quality is fundamental for today’s AI-based systems. However, although data quality has been an object of research for decades, there is a clear lack of research on potential data quality issues (e.g., ambiguous, extraneous values). These kinds of issues are latent in nature and thus often not obvious. Nevertheless, they can be associated with an increased risk of future problems in AI-based systems (e.g., technical debt, data-induced faults). As a counterpart to code smells in software engineering, we refer to such issues as Data Smells. This article conceptualizes data smells and elaborates on their causes, consequences, detection, and use in the context of AI-based systems. In addition, a catalogue of 36 data smells divided into three categories (i.e., Believability Smells, Understandability Smells, Consistency Smells) is presented. Moreover, the article outlines tool support for detecting data smells and presents the result of an initial smell detection on more than 240 real-world datasets.",H. Foidl; M. Felderer; R. Ramler,2022,False,False,False,7.0,6.0,6.0
978-1-4503-9275-4,,What Is an AI Engineer? An Empirical Analysis of Job Ads in The Netherlands,"Recently, the job market for Artificial Intelligence (AI) engineers has exploded. Since the role of AI engineer is relatively new, limited research has been done on the requirements as set by the industry. Moreover, the definition of an AI engineer is less established than for a data scientist or a software engineer. In this study we explore, based on job ads, the requirements from the job market for the position of AI engineer in The Netherlands. We retrieved job ad data between April 2018 and April 2021 from a large job ad database, Jobfeed from TextKernel. The job ads were selected with a process similar to the selection of primary studies in a literature review. We characterize the 367 resulting job ads based on meta-data such as publication date, industry/sector, educational background and job titles. To answer our research questions we have further coded 125 job ads manually. The job tasks of AI engineers are concentrated in five categories: business understanding, data engineering, modeling, software development and operations engineering. Companies ask for AI engineers with different profiles: 1) data science engineer with focus on modeling, 2) AI software engineer with focus on software development, 3) generalist AI engineer with focus on both models and software. Furthermore, we present the tools and technologies mentioned in the selected job ads, and the soft skills. Our research helps to understand the expectations companies have for professionals building AI-enabled systems. Understanding these expectations is crucial both for prospective AI engineers and educational institutions in charge of training those prospective engineers. Our research also helps to better define the profession of AI engineering. We do this by proposing an extended AI engineering life-cycle that includes a business understanding phase.",M. Meesters; P. Heck; A. Serebrenik,2022,False,False,False,7.0,5.0,2.0
979-8-3503-0113-7,,Towards Understanding Machine Learning Testing in Practise,"Visualisations drive all aspects of the Machine Learning (ML) Development Cycle but remain a vastly untapped resource by the research community. ML testing is a highly interactive and cognitive process which demands a human-in-the-loop approach. Besides writing tests for the code base, bulk of the evaluation requires application of domain expertise to generate and interpret visualisations. To gain a deeper insight into the process of testing ML systems, we propose to study visualisations of ML pipelines by mining Jupyter notebooks. We propose a two prong approach in conducting the analysis. First, gather general insights and trends using a qualitative study of a smaller sample of notebooks. And then use the knowledge gained from the qualitative study to design an empirical study using a larger sample of notebooks. Computational notebooks provide a rich source of information in three formats—text, code and images. We hope to utilise existing work in image analysis and Natural Language Processing for text and code, to analyse the information present in notebooks. We hope to gain a new perspective into program comprehension and debugging in the context of ML testing.",A. Shome; L. Cruz; A. van Deursen,2023,False,False,False,7.0,2.0,5.0
978-1-6654-1032-8,2327-0594,Modeling Data Requirements for Machine Learning Systems,"As machine learning technology penetrates into various fields, how to ensure the quality of machine learning systems becomes an urgent problem. Current requirements modeling methods for machine learning systems are still in their infancy and rarely include data requirements modeling. In this paper, we propose a two-layer data requirements modeling method for machine learning systems. The bottom layer is the learning context used to describe the elements of the machine learning system and environment and relationships between them. A feature-oriented domain analysis approach is used to describe the learning context with feature models, and give the definitions, relationships and constraints of features. The upper layer is a set of property-based specifications. The definition of features and the descriptions of feature relationships provide the basis for the construction of properties. We derive a set of properties to be satisfied on the basis of the constructed learning context, and based on this we give descriptions and specifications of the data requirements for the machine learning systems. To better demonstrate the approach, we use an example of a self-driving system throughout the article.",W. Shao; X. Wang,2022,False,True,False,7.0,5.0,5.0
979-8-3315-4919-0,2375-0197,Accelerating Educational Assessment in Software Engineering through Human-AI Collaboration,"The continuously improving capabilities of Artificial Intelligence (AI) systems are rapidly establishing them as the de facto choice for complex tasks and sophisticated reasoning. Evaluation tasks, for example, are particularly challenging, since they demand expert judgment, contextual analysis, and nuanced decision-making. Educational assessment represents a critical instance of such a complex cognitive task, where scalability challenges force institutions to choose between efficiency and assessment quality, as enrollment outpaces faculty capacity. While large language models seem promising for assisting in this context, they often lack domain-specific knowledge and pedagogical context, which are essential for effective assessment. This paper presents a systematic methodology for human-AI collaboration that addresses these limitations and achieves scalable efficiency, while preserving instructor autonomy. We validate our approach in the Software Engineering education domain, an especially demanding testbed, which requires assessment across multiple technical artifacts that combine objective correctness with subjective design quality. The system is tested against 30 software engineering projects, across different software engineering artifact types. Our evaluation demonstrates significant efficiency improvement against the current (manual) assessment approach, indicating that the systematic provision of domain knowledge can enable AI assistance in complex educational evaluation tasks.",D. -N. Nastos; T. Diamantopoulos; A. Symeonidis,2025,False,False,False,2.0,2.0,5.0
978-1-6654-3553-6,,Exploitation Pattern for Machine Learning Systems,"The rapid increase in the development of machine learning systems in companies today presents new challenges that have not been faced in the development of traditional IT systems. Machine learning systems for human operations have a different set of challenges in comparison with Porter's connected smart products. The methodology for planning and developing such products has not yet been established, and it is mainly based on experience and intuition. In this paper, we define “exploitation” as the process of enhancing machine learning systems and summarize the issues in exploitation pattern based on several case studies. In the latter half of the paper, we propose a development process that minimizes machine learning problems on the exploitation of the systems. This is done by defining multiple uncertainties and proposing multiple development methods that are required for those uncertainties.",S. Okuda; G. Nemoto; T. Mori; N. Ishitani; K. Nishimura; N. Uchihira,2021,True,False,True,7.0,7.0,6.0
,1557-9638,Teaching Machine Learning as Part of Agile Software Engineering,"Contribution: A novel undergraduate course design at the intersection of software engineering (SE) and machine learning (ML) based on industry-reported challenges. Background: ML professionals report that building ML systems is different enough that we need new knowledge about how to infuse ML into software production. For instance, various experts need to be deeply involved with these SE projects, such as business analysts, data scientists, and statisticians. Intended outcomes: The creation of a table detailing and matching industry challenges with course learning objectives, course topics, and related activities. Application design: Course content was derived from interviewing industry professionals with related experience as well as surveying undergraduate SE students. The proposed course style is designed to emulate real-world ML-based SE. Findings: Industry-derived content for a pilot undergraduate course has been successfully crafted at the intersection of SE and ML.",S. Chenoweth; P. K. Linos,2024,False,False,False,7.0,5.0,6.0
978-1-6654-0296-5,1558-1225,An Empirical Study of Refactorings and Technical Debt in Machine Learning Systems,"Machine Learning (ML), including Deep Learning (DL), systems, i.e., those with ML capabilities, are pervasive in today's data-driven society. Such systems are complex; they are comprised of ML models and many subsystems that support learning processes. As with other complex systems, ML systems are prone to classic technical debt issues, especially when such systems are long-lived, but they also exhibit debt specific to these systems. Unfortunately, there is a gap of knowledge in how ML systems actually evolve and are maintained. In this paper, we fill this gap by studying refactorings, i.e., source-to-source semantics-preserving program transformations, performed in real-world, open-source software, and the technical debt issues they alleviate. We analyzed 26 projects, consisting of 4.2 MLOC, along with 327 manually examined code patches. The results indicate that developers refactor these systems for a variety of reasons, both specific and tangential to ML, some refactorings correspond to established technical debt categories, while others do not, and code duplication is a major cross-cutting theme that particularly involved ML configuration and model code, which was also the most refactored. We also introduce 14 and 7 new ML-specific refactorings and technical debt categories, respectively, and put forth several recommendations, best practices, and anti-patterns. The results can potentially assist practitioners, tool developers, and educators in facilitating long-term ML system usefulness.",Y. Tang; R. Khatchadourian; M. Bagherzadeh; R. Singh; A. Stewart; A. Raja,2021,True,False,False,7.0,7.0,6.0
978-1-4503-9275-4,,AI Governance in the System Development Life Cycle: Insights on Responsible Machine Learning Engineering,"In this study we explore the incorporation of artificial intelligence (AI) governance to system development life cycle (SDLC) models. We conducted expert interviews among AI and SDLC professionals and analyzed the interview data using qualitative coding and clustering to extract AI governance concepts. Subsequently, we mapped these concepts onto three stages in the machine learning (ML) system development process: (1) design, (2) development, and (3) operation. We discovered 20 governance concepts, some of which are relevant to more than one of the three stages. Our analysis highlights AI governance as a complex process that involves multiple activities and stakeholders. As development projects are unique, the governance requirements and processes also vary. This study is a step towards understanding how AI governance is conceptually connected to ML systems’ management processes through the project life cycle. CCS CONCEPTS • Software and its engineering $^{\rightarrow}$ Software creation and management.",S. Laato; T. Birkstedt; M. Mäntymäki; M. Minkkinen; T. Mikkonen,2022,False,False,False,7.0,6.0,5.0
979-8-3503-6883-3,,AI Engineering Continuum: Concept and Expected Foundation,"To address the breadth of AI quality risks including security ones, we propose the “AI Engineering Continuum” as a comprehensive framework consisting of the following five dimensions necessary from the holistic engineering point of view: AI layer continuum, AI process continuum, AI computing continuum, AI automation continuum, and AI quality continuum. The AI engineering continuum is intended to be used to evaluate the adequacy of AI engineering projects and identify weaknesses that should be improved and aligned with the dimensions of the framework. Furthermore, we discuss necessary engineering features and foundations needed to efficiently and effectively raise each dimension of the framework and demonstrate some of their preliminary implementations, including our past achievements.",H. Washizaki; N. Yoshioka,2024,True,False,True,7.0,6.0,5.0
979-8-3315-3336-6,2768-4288,Towards Practicable Machine Learning Development Using AI Engineering Blueprints,"The implementation of artificial intelligence (AI) in business applications holds considerable promise for significant improvements. The development of AI systems is becoming increasingly complex, thereby underscoring the growing importance of AI engineering and MLOps techniques. Small and medium-sized enterprises (SMEs) face considerable challenges when implementing AI in their products or processes. These enterprises often lack the necessary resources and expertise to develop, deploy, and operate AI systems that are tailored to address their specific problems. Given the lack of studies on the application of AI engineering practices, particularly in the context of SMEs, this paper proposes a research plan designed to develop blueprints for the creation of proprietary machine learning (ML) models using AI engineering and MLOps practices. These blueprints enable SMEs to develop, deploy, and operate AI systems by providing reference architectures and suitable automation approaches for different types of ML. The efficacy of the blueprints is assessed through their application to a series of field projects. This process gives rise to further requirements and additional development loops for the purpose of generalization. The benefits of using the blueprints for organizations are demonstrated by observing the process of developing ML models and by conducting interviews with the developers.",N. Weeger; A. Stiehl; J. von Kistowski; S. Geißelsöder; C. Uhl,2025,True,False,True,7.0,7.0,5.0
978-1-6654-4470-5,,Characterizing and Detecting Mismatch in Machine-Learning-Enabled Systems,"Increasing availability of machine learning (ML) frameworks and tools, as well as their promise to improve solutions to data-driven decision problems, has resulted in popularity of using ML techniques in software systems. However, end-to-end development of ML-enabled systems, as well as their seamless deployment and operations, remain a challenge. One reason is that development and deployment of ML-enabled systems involves three distinct workflows, perspectives, and roles, which include data science, software engineering, and operations. These three distinct perspectives, when misaligned due to incorrect assumptions, cause ML mismatches which can result in failed systems. We conducted an interview and survey study where we collected and validated common types of mismatches that occur in end-to-end development of ML-enabled systems. Our analysis shows that how each role prioritizes the importance of relevant mismatches varies, potentially contributing to these mismatched assumptions. In addition, the mismatch categories we identified can be specified as machine readable descriptors contributing to improved ML-enabled system development. In this paper, we report our findings and their implications for improving end-to-end ML-enabled system development.",G. A. Lewis; S. Bellomo; I. Ozkaya,2021,False,False,True,7.0,6.0,7.0
